"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"52" "1" "5" "1" "4" "2" "2" "5" "2" "2" "1" "3" "2" "1" "2" "0" "2" "2" "4" "3"
"53" "1" "1" "1" "4" "1" "2" "1" "999" "2" "1" "3" "2" "3" "2" "0" "2" "4" "4" "4"
"54" "0" "1" "1" "6" "2" "2" "5" "999" "1" "2" "6" "2" "6" "2" "1" "2" "2" "2" "4"
"55" "1" "5" "1" "4" "1" "2" "1" "0" "1" "1" "3" "2" "1" "2" "0" "2" "2" "4" "4"
"56" "1" "5" "1" "1" "999" "2" "1" "999" "1" "2" "6" "2" "1" "2" "0" "2" "1" "3" "3"
"57" "0" "5" "1" "4" "2" "2" "1" "999" "0" "3" "1" "1" "1" "2" "0" "2" "3" "4" "4"
"58" "0" "5" "1" "1" "999" "2" "1" "999" "0" "3" "1" "1" "1" "2" "0" "2" "2" "4" "4"
"59" "0" "1" "1" "1" "999" "2" "5" "999" "0" "2" "6" "2" "4" "2" "0" "2" "1" "2" "3"
"60" "0" "5" "1" "1" "999" "2" "5" "1" "0" "2" "1" "1" "1" "2" "0" "2" "3" "4" "4"
"61" "1" "1" "1" "1" "999" "2" "5" "999" "0" "2" "4" "2" "5" "2" "0" "2" "1" "3" "3"
"62" "1" "1" "1" "1" "999" "2" "1" "999" "1" "2" "3" "1" "4" "2" "0" "2" "999" "3" "3"
"63" "0" "2" "1" "1" "999" "2" "1" "999" "1" "4" "5" "2" "3" "2" "0" "2" "1" "3" "3"
"64" "0" "5" "1" "1" "999" "2" "1" "999" "0" "3" "3" "2" "1" "2" "0" "2" "1" "3" "3"
"65" "0" "5" "1" "1" "999" "2" "5" "2" "0" "2" "6" "2" "1" "2" "0" "2" "1" "3" "3"
"66" "0" "5" "1" "1" "999" "2" "1" "999" "0" "3" "6" "2" "5" "2" "0" "2" "2" "3" "3"
"67" "0" "4" "1" "1" "999" "2" "5" "999" "0" "2" "3" "2" "4" "2" "0" "2" "999" "2" "3"
"68" "1" "1" "1" "1" "999" "2" "5" "1" "0" "2" "4" "2" "4" "2" "0" "2" "999" "3" "2"
"69" "1" "4" "1" "1" "999" "2" "5" "2" "1" "4" "6" "2" "5" "2" "1" "2" "1" "2" "3"
"70" "1" "1" "1" "1" "999" "2" "5" "0" "1" "2" "1" "1" "5" "2" "0" "2" "1" "2" "2"
"71" "1" "1" "1" "4" "2" "2" "5" "999" "0" "2" "4" "2" "5" "2" "1" "2" "3" "4" "4"
"72" "1" "1" "1" "1" "999" "2" "5" "2" "0" "2" "1" "1" "6" "2" "1" "2" "2" "2" "3"
"73" "1" "5" "1" "1" "999" "2" "1" "2" "0" "1" "6" "2" "1" "2" "0" "2" "1" "3" "2"
"74" "1" "1" "1" "1" "999" "2" "1" "0" "0" "3" "1" "1" "6" "1" "0" "1" "999" "1" "2"
"75" "1" "1" "1" "1" "999" "2" "1" "1" "1" "1" "3" "2" "6" "1" "1" "1" "999" "2" "2"
"76" "1" "1" "1" "1" "999" "2" "5" "2" "0" "2" "1" "1" "5" "2" "0" "2" "1" "3" "3"
"77" "0" "5" "1" "7" "2" "2" "1" "1" "0" "1" "6" "2" "1" "1" "0" "2" "1" "3" "2"
"78" "0" "5" "1" "1" "999" "2" "5" "999" "0" "3" "6" "2" "1" "2" "0" "2" "1" "3" "3"
"79" "1" "1" "1" "1" "999" "2" "1" "1" "1" "2" "3" "1" "4" "1" "0" "2" "999" "3" "2"
"80" "1" "1" "1" "4" "2" "2" "7" "1" "1" "4" "2" "1" "6" "2" "1" "1" "1" "1" "3"
"81" "1" "1" "1" "1" "999" "2" "5" "1" "1" "3" "1" "1" "3" "2" "0" "2" "2" "3" "3"
"82" "1" "1" "1" "1" "999" "2" "1" "0" "0" "2" "3" "2" "6" "1" "1" "1" "999" "1" "2"
"83" "1" "1" "1" "2" "999" "2" "1" "2" "1" "3" "3" "2" "2" "2" "0" "2" "3" "3" "4"
"84" "1" "5" "1" "4" "2" "2" "1" "999" "1" "2" "3" "2" "1" "2" "0" "2" "2" "4" "3"
"85" "0" "5" "1" "1" "999" "2" "5" "999" "0" "2" "3" "2" "1" "2" "0" "2" "1" "3" "3"
"86" "0" "5" "1" "1" "999" "1" "1" "999" "1" "3" "1" "1" "1" "2" "0" "2" "3" "4" "4"
"87" "1" "1" "1" "1" "999" "2" "5" "2" "0" "3" "3" "1" "5" "2" "1" "2" "1" "3" "3"
"88" "1" "1" "1" "1" "999" "2" "1" "0" "1" "3" "3" "2" "6" "1" "1" "1" "1" "1" "2"
"89" "0" "4" "1" "7" "2" "2" "5" "1" "1" "4" "1" "1" "6" "2" "1" "2" "1" "1" "3"
"90" "0" "2" "1" "1" "999" "2" "5" "999" "1" "4" "4" "2" "6" "2" "0" "2" "3" "3" "4"
"91" "0" "1" "1" "6" "2" "2" "5" "999" "2" "2" "3" "2" "6" "2" "1" "2" "2" "3" "3"
"92" "0" "5" "1" "4" "2" "2" "1" "1" "0" "1" "3" "2" "1" "2" "0" "2" "2" "3" "3"
"93" "1" "1" "1" "1" "999" "2" "5" "2" "1" "1" "4" "2" "6" "1" "1" "2" "999" "1" "2"
"94" "0" "5" "1" "1" "999" "2" "5" "999" "1" "2" "1" "1" "1" "2" "0" "2" "3" "4" "4"
"95" "0" "5" "1" "4" "2" "2" "1" "0" "1" "1" "1" "1" "1" "1" "0" "2" "1" "3" "2"
"96" "1" "1" "1" "1" "999" "2" "5" "1" "0" "2" "3" "1" "5" "2" "0" "2" "2" "3" "3"
"97" "1" "1" "1" "1" "999" "2" "6" "2" "0" "2" "6" "2" "4" "2" "0" "2" "3" "3" "3"
"98" "1" "1" "1" "1" "999" "2" "1" "1" "2" "4" "3" "2" "6" "2" "1" "2" "2" "2" "3"
"99" "1" "5" "1" "4" "2" "2" "1" "1" "1" "2" "3" "2" "1" "1" "0" "2" "1" "3" "2"
"100" "1" "5" "1" "1" "999" "2" "1" "2" "1" "2" "6" "2" "1" "2" "0" "2" "3" "4" "3"
"101" "0" "5" "1" "4" "2" "1" "5" "1" "0" "2" "6" "2" "1" "2" "0" "2" "3" "4" "4"
"102" "0" "5" "1" "1" "999" "2" "1" "999" "0" "3" "3" "2" "1" "2" "0" "2" "3" "4" "3"
"103" "1" "1" "1" "1" "999" "2" "5" "999" "0" "4" "1" "1" "6" "1" "1" "1" "1" "1" "2"
"104" "1" "5" "1" "1" "999" "2" "1" "1" "0" "1" "3" "2" "1" "1" "0" "2" "999" "2" "1"
"105" "1" "1" "1" "1" "999" "2" "5" "1" "0" "2" "3" "1" "6" "1" "1" "1" "1" "1" "2"
"106" "0" "1" "1" "1" "999" "2" "1" "1" "0" "2" "5" "2" "2" "1" "0" "2" "999" "1" "2"
"107" "0" "2" "1" "1" "999" "2" "1" "1" "1" "2" "6" "2" "3" "1" "0" "2" "1" "1" "2"
"108" "1" "5" "1" "4" "2" "2" "999" "999" "1" "4" "3" "2" "1" "1" "0" "2" "1" "3" "2"
"109" "1" "2" "1" "5" "2" "2" "5" "0" "0" "2" "3" "2" "6" "2" "1" "2" "3" "3" "4"
